lab_ID,NormGenomeCopy
100,20790977340
101,3402181.586
102,2885423033
105,3273163334
106,145194976.4
107,1366809929
110,944544.7579
111,837787.2511
112,706115367.2
113,6604992431
114,2655095.171
116,2003343997
118,9298429346
120,5825161288
123,513868.3233
125,55463251.17
126,6777245.672
128,56897820
129,85965156.13
131,219779.9135
133,1863759696
134,16194209.87
135,3861366279
138,8686904639
139,23644917.39
140,10467599.57
142,7517363926
144,1.44E+11
147,60937965125
148,10197459474
149,10996853.23
151,2396789487
153,5713361059
155,57181181.49
158,2479513929
161,1105859521
162,1299370001
166,3107082246
167,4799602144
168,2517827454
169,89357397.18
170,18280601.36
171,538249434.6
173,4335465401
174,54912236.35
176,2524635292
180,1610182477
181,1315893412
84,17676194488
85,1298172.2
86,26774857.26
88,3637331631
89,180830633.4
90,2963864195
91,1067276932
92,16958628347
93,441009.8048
94,2350609.465
96,18494105948
98,27465491750