lab_ID,2022_FOB,2022_varroa,2022_Nosema
80,12,0,12000000
75,11,0.333333333,16150000
74,6,0,8900000
81,7,0,14850000
78,7,0,4350000
79,10,0,3850000
83,14,0,1850000
68,16,0,5850000
71,6,0,12150000
72,7,0,15700000
35,9,2.333333333,17600000
38,10,0.666666667,9000000
41,12,2.666666667,8050000
40,16,4.333333333,4650000
37,10,0.333333333,4750000
46,16,0,650000
43,15,0.333333333,6700000
44,17,0.666666667,200000
42,13,0,13750000
48,22,0.333333333,800000
45,12,0.333333333,5900000
47,17,0,1750000
60,12,0,4350000
61,14,0,50000
62,15,6,150000
63,20,0,0
64,14,0.333333333,50000
66,12,0.333333333,350000
56,Sticker on front - 8,1,0
51,20,0.666666667,250000