Plate,Sample ID,# of Bees (RNA),# of Mites,# of Bees,# of Mites,% Infestation,Concentration (µg),RNA vol,Water vol,Equalization (µg),RPS5 Cq,RPS5 SD,,DWV-A Cq,DWV-A SD,Log10Copies,lab_ID,yard,Copies/uL,Copies/uL DWV-A,,DWV-B Cq,DWV-B SD,Log10Copies,Copies/uL,Copies/uL DWV-B,,BQCV Cq,BQCV SD,Log10Copies,Copies/uL,Copies/uL BQCV,,IAPV Cq,IAPV SD,Log10Copies,Copies/uL,Copies/uL IAPV,,SBV Cq,SBV SD,Log10Copies,Copies/uL,Copies/uL SBV,,CBPV Cq,CBPV SD,Log10Copies,Copies/uL,Copies/uL CBPV,,LSV Cq,LSV SD,Log10Copies,Copies/uL,Copies/uL LSV
,J9,50,0,20,0,0,121,20.7,79.3,32.2,18,0.203,,29.3,0.167,1.897,,,78.884,79,,25.8,0.095,4.473,29740.522,29741,,23.9,0.068,4.956,90464.57,90465,,35.1,0,1.031,10.731,0,,34.2,0.671,1.226,16.826,0,,33.1,0.395,0.621,4.177,0,,19.7,0.086,6.042434312,1102641.444,1102641
,J10,50,0,9,0,0,417.1,12,38,50.3,17,0.102,,28.9,0.217,1.984,,,96.43,96,,26.3,0.062,4.336,21693.969,21694,,18.3,0.088,6.68,4785210.045,4785210,,35.3,0,0.973,9.398,0,,32.1,0.685,1.844,69.84,0,,33.9,0.47,0.368,2.331,0,,30.5,0.362,2.918143979,828.2166909,828
,J11,50,0,5,0,0,335.7,14.9,85.1,50.7,17.2,0.068,,28.9,0.49,1.976,,,94.598,95,,25.6,0.001,4.524,33428.015,33428,,14.2,0.013,7.924,83955509.257,83955509,,35.1,0,1.021,10.492,0,,36.5,2.69,0.518,3.299,0,,32.3,0.044,0.845,7.002,0,,20.4,0.186,5.8587148,722295.3182,722295
,J12,50,0,1,0,0,512.5,9.8,90.2,49,17.2,0.17,,28.6,0.125,2.072,,,118.095,118,,23.6,0.251,5.101,126082.501,126083,,17.5,0.292,6.9,7952286.791,7952287,,34.9,0.196,1.071,11.788,0,,39.7,0,-0.454,0.352,0,,33.1,1.1,0.616,4.126,0,,30.1,0.165,3.041193321,1099.495158,1099
,J13,50,0,17,0,0,1205.3,4.1,95.9,50.4,16.9,0.107,,26.5,0.039,2.607,,,404.723,405,,26,0.041,4.42,26313.57,26314,,15.2,0.365,7.606,40360435.489,40360435,,32.9,0.083,1.644,44.035,0,,38.7,0,-0.16,0.692,0,,31.5,0.221,1.101,12.613,13,,29.5,0.029,3.220068816,1659.849897,1660
,J14,50,2,10,0,3.333,400.8,12.5,87.5,50.2,17,0.154,,28.9,0.63,1.993,,,98.37,98,,24.8,0.126,4.747,55835.352,55835,,24.3,0.048,4.824,66749.481,66749,,30.5,6.174,2.306,202.187,202,,40,0,-0.544,0.286,0,,40,0,-1.496,0.032,0,,33.8,0.828,1.98375709,96.3290085,0
,J15,50,0,7,0,0,568.9,8.8,91.2,49,17.1,0.627,,28.3,0.032,2.149,,,140.767,141,,25.3,0.175,4.609,40653.601,40654,,17.4,0.003,6.945,8815107.721,8815108,,30.2,4.835,2.391,245.905,246,,29.6,0.296,2.607,404.461,404,,33.8,0,0.409,2.567,0,,17.8,0.905,6.600867824,3989034.792,3989035
,J16,50,0,17,1,1.493,1514.5,3.3,96.7,49.4,17.4,0.238,,28.7,0.039,2.042,,,110.143,110,,26.1,0.235,4.388,24411.959,24412,,22.1,0.142,5.499,315750.187,315750,,34.1,1.05,1.296,19.776,0,,36.7,0,0.462,2.9,0,,33.8,0.015,0.407,2.55,0,,27.8,0.04,3.711198615,5142.787916,5143
,J17,50,0,9,0,0,510.2,9.8,90.2,49.8,17.3,0.121,,27.9,0.261,2.242,,,174.596,175,,26.2,0.052,4.348,22296.789,22297,,18.2,0.076,6.705,5073629.729,5073630,,35.3,0,0.977,9.492,0,,30.4,0.161,2.388,244.332,244,,40,0,-1.496,0.032,0,,35,1.21,1.633879724,43.04073947,0
,J18,48,0,1,0,0,84.4,17.8,12.2,49.7,17.2,0.363,,27.6,0.187,2.324,,,210.646,211,,25.4,0.089,4.576,37659.387,37659,,16.3,0.06,7.272,18720889.763,18720890,,33.7,0.36,1.411,25.781,0,,33.2,0.617,1.513,32.572,0,,33.2,0,0.582,3.819,0,,18.1,0.166,6.524102383,3342738.346,3342738
,J19,50,0,9,0,0,117,12.8,17.2,49,16.6,0.076,,29.1,0.309,1.941,,,87.348,87,,26.1,0.086,4.38,23992.916,23993,,22.8,0.188,5.281,191064.168,191064,,29.5,3.749,2.605,402.703,403,,34.6,3.005,1.084,12.122,0,,38.6,0,-1.082,0.083,0,,34.4,0,1.806252876,64.01074416,0
,J20,50,0,7,0,0,504.7,9.9,90.1,50.8,16.9,0.031,,25.3,0.033,2.916,,,824.018,824,,25.1,0.263,4.668,46579.387,46579,,15.5,0.087,7.511,32460263.899,32460264,,33.4,0.466,1.498,31.456,0,,30.3,0.549,2.416,260.389,260,,40,0,-1.496,0.032,0,,19.3,0.516,6.174117333,1493197.772,1493198
,J21,50,1,11,0,1.639,15.4,,,15.4,19.1,0.291,,27.9,0.505,2.256,,,180.416,180,,26,0.073,4.413,25870.32,25870,,25.5,0.082,4.459,28753.022,28753,,33.7,0,1.427,26.713,0,,40,0,-0.544,0.286,0,,30,0.168,1.571,37.27,37,,40,0,0.176555716,1.501605037,0
,J22,50,0,7,0,0,232.6,10.7,39.3,50.2,16.6,0.072,,27.9,0.353,2.236,,,172.351,172,,22.8,0.066,5.34,218966.725,218967,,23.2,0.227,5.176,150092.818,150093,,31.7,1.392,1.975,94.42,94,,39.3,0,-0.345,0.452,0,,33.5,0,0.496,3.13,0,,21.2,0.093,5.620092581,416958.2598,416958
,J23,50,0,12,0,0,198.2,12.6,37.4,49.2,17,0.006,,27.8,0.062,2.264,,,183.733,184,,23.7,0.002,5.073,118396.609,118397,,15.7,0.151,7.472,29680565.167,29680565,,33.6,0.314,1.457,28.617,0,,33.5,0.954,1.433,27.077,0,,32.8,1.215,0.705,5.071,0,,17,0.131,6.826748297,6710398.267,6710398
,J24,50,0,7,0,0,315.5,15.8,84.2,50.1,16.5,0.13,,28.9,0.261,1.984,,,96.451,96,,25.1,0.151,4.678,47688.755,47689,,20.8,0.023,5.895,785220.577,785221,,31.1,2.371,2.148,140.448,140,,37.6,0.072,0.19,1.548,0,,23,0.188,3.708,5105.131,5105,,40,0,0.176555716,1.501605037,0
,J25,50,0,6,0,0,45,,,45,16.9,0.586,,28.9,0.364,1.981,,,95.616,96,,26.1,0.014,4.395,24817.664,24818,,24.5,0.029,4.774,59416.305,59416,,33.7,0.342,1.404,25.364,0,,36.5,1.148,0.506,3.203,0,,38.8,0,-1.115,0.077,0,,39.1,0,0.42570398,2.665041523,0
,J26,50,0,9,1,1.695,878.3,5.7,94.3,50.2,17.4,0.046,,27.7,0.045,2.29,,,195.075,195,,24.9,0.168,4.737,54533.128,54533,,15.1,0.257,7.635,43159061.775,43159062,,35.2,0,0.987,9.697,0,,24.1,0.19,4.289,19447.208,19447,,40,0,-1.496,0.032,0,,34.5,0.249,1.76702624,58.4825418,0
,J27,50,0,10,0,0,207.8,12,38,50.4,16.7,0.195,,28.9,0.081,1.981,,,95.768,96,,25.7,0.032,4.499,31523.71,31524,,14.8,0.214,7.745,55610201.887,55610202,,32.4,1.461,1.77,58.881,0,,37.7,0.057,0.153,1.421,0,,40,0,-1.496,0.032,0,,36.9,0,1.059489203,11.4680401,0
,J28,50,0,0,0,0,531.4,9.4,90.6,50.2,16.8,0.237,,28.6,0.05,2.06,,,114.809,115,,25.8,0.228,4.474,29783.71,29784,,22.5,0.328,5.37,234585.118,234585,,32.4,1.278,1.77,58.86,0,,38.5,0.412,-0.082,0.827,0,,40,0,-1.496,0.032,0,,40,0,0.176555716,1.501605037,0
,J30,50,0,10,0,0,270.5,18.5,81.5,49,16.8,0.073,,29.4,0.565,1.854,,,71.442,71,,25.3,0.035,4.617,41439.217,41439,,23.4,0.126,5.093,123819.67,123820,,33,0.497,1.618,41.448,0,,39.1,0,-0.258,0.552,0,,34.4,0.082,0.23,1.698,0,,40,0,0.176555716,1.501605037,0
,J58,50,0,12,0,0,1862.9,2.7,97.3,50.4,16.9,0.067,,28.4,0.036,2.128,,,134.427,134,,26,0.059,4.422,26419.437,26419,,17.8,0.141,6.815,6529410.354,6529410,,31.6,0.573,2.005,101.175,101,,36.7,0.514,0.469,2.942,0,,40,0,-1.496,0.032,0,,33.3,0,2.122678115,132.6410999,0
,M1,50,0,6,0,0,1110.1,4.5,95.5,51,17.6,0.351,,25.9,0.283,2.77,141,Birch,589.074,589,,10.2,0.227,8.981,958066606.29,958066606,,15.2,0.38,7.624,42040645.838,42040646,,11.7,0.031,7.566,36830756.382,36830756,,40,0,-0.544,0.286,0,,31.2,0.343,1.191,15.532,16,,40,0,0.176555716,1.501605037,0
,M2,50,0,6,0,0,2066.8,2.4,97.6,49.9,17.4,0.187,,25.8,0.141,2.793,126,Boulerice,620.176,620,,12.8,0.131,8.231,170146357.392,170146357,,15,0.067,7.686,48492599.78,48492600,,34.1,1.466,1.291,19.556,0,,25,0.184,4.009,10215.719,10216,,32.2,0.136,0.887,7.713,0,,40,0,0.176555716,1.501605037,0
,M3,50,0,8,0,0,2027.7,2.5,97.5,50.4,17.4,0.039,,27.6,0.081,2.315,158,Birch,206.521,207,,17.8,0.139,6.78,6021647.013,6021647,,24.1,0.298,4.892,78027.095,78027,,35.1,0.257,1.025,10.594,0,,35.5,0.304,0.831,6.769,0,,29.3,0.358,1.786,61.053,61,,34.3,0.268,1.829657287,67.55496719,0
,M4,50,5,10,1,10,1637.8,3.1,96.9,49.6,17.5,0.028,,16.8,0.088,5.132,137,Birch,135518.778,135519,,14.5,0.133,7.744,55433115.053,55433115,,26.3,0.183,4.226,16837.132,16837,,19.6,0.139,5.365,231473.006,231473,,40,0,-0.544,0.286,0,,32.9,1.374,0.689,4.886,0,,34.2,0,1.868005674,73.79138712,0
,M5,50,1,1,0,1.961,1834.7,2.7,97.3,50.6,17.5,0.286,,10.4,0.66,6.788,168,Birch,6140736.911,6140737,,11.5,0.071,8.604,401684554.271,401684554,,12,0.149,8.597,395083272.75,395083273,,17.8,0.087,5.876,751309.424,751309,,23.9,0.199,4.359,22838.291,22838,,31.6,0.48,1.084,12.142,12,,40,0,0.176555716,1.501605037,0
,M6,50,0,2,0,0,1861.9,2.7,97.3,50,16.9,0.162,,13.1,0.385,6.085,109,Boulerice,1215716.891,1215717,,10.7,0.118,8.819,659428445.726,659428446,,13.2,0.001,8.223,167239156.836,167239157,,33.1,1.007,1.598,39.591,0,,40,0,-0.544,0.286,0,,26.2,0.587,2.72,524.906,525,,40,0,0.176555716,1.501605037,0
,M7,42,0,0,0,0,2016.9,2.5,97.5,50.5,17.4,0.123,,26.8,0.291,2.539,110,Boulerice,346.337,346,,20.1,0.105,6.11,1287366.796,1287367,,25.2,0.039,4.554,35807.726,35808,,33.9,0,1.364,23.119,0,,40,0,-0.544,0.286,0,,23.1,0.309,3.68,4782.363,4782,,22.5,0.243,5.227732021,168939.8177,168940
,M8,50,1,7,0,1.754,1535.2,3.3,96.7,50.3,17,0.373,,13.4,0.107,6.016,140,Birch,1036371.447,1036371,,10.6,1.08,8.851,710387589.053,710387589,,13.3,0.254,8.21,162322206.335,162322206,,31.6,0.296,2.012,102.821,103,,40,0,-0.544,0.286,0,,28.6,0.018,2,100.11,100,,40,0,0.176555716,1.501605037,0
,M9,47,1,0,0,2.128,757.3,6.6,93.4,49.5,16.9,0.387,,13.9,0.048,5.874,87,Boulerice,747404.011,747404,,11.1,0.07,8.729,535879957.082,535879957,,13.1,0.205,8.256,180348908.678,180348909,,32.6,0.289,1.734,54.256,0,,33.5,0,1.436,27.272,0,,22.6,0.078,3.824,6664.011,6664,,40,0,0.176555716,1.501605037,0
,M10,48,0,0,0,0,331.9,7.5,42.5,50.2,16.7,0.062,,12.5,0.238,6.242,100,Boulerice,1746445.459,1746445,,9,0.306,9.317,2072613444.946,2072613445,,15.4,0.432,7.554,35835102.597,35835103,,33.4,0.569,1.505,31.974,0,,37.7,0,0.149,1.408,0,,26.5,0.063,2.619,416.379,416,,40,0,0.176555716,1.501605037,0
,M11,50,4,7,0,7.018,1035.9,4.8,95.2,51,17.4,0.048,,20.5,0.089,4.182,135,Birch,15205.077,15205,,12.8,0.052,8.225,167792709.396,167792709,,24.8,0.003,4.681,47931.493,47931,,34.3,1.89,1.25,17.777,0,,40,0,-0.544,0.286,0,,32.9,1.76,0.676,4.739,0,,33.9,0.23,1.931688056,85.44527585,0
,M12,50,0,0,0,0,1886.7,2.7,97.3,50.5,17,0.139,,11.1,0.225,6.605,106,Boulerice,4030798.578,4030799,,10.8,0.229,8.797,626230941.181,626230941,,16.4,0.003,7.249,17723985.68,17723986,,34.2,0.882,1.29,19.477,0,,29,0.155,2.784,608.542,609,,30.5,0.855,1.405,25.405,25,,40,0,0.176555716,1.501605037,0
,M13,49,0,0,0,0,1377.5,3.6,96.4,50.9,17.3,0.092,,21.1,0.17,4.014,175,Boulerice,10320.187,10320,,17.8,0.261,6.768,5857440.434,5857440,,19.5,0.106,6.302,2003409.607,2003410,,32,0.679,1.9,79.343,79,,33,0.075,1.593,39.147,0,,33.7,0,0.429,2.686,0,,34.3,0,1.827053119,67.15109806,0
,M14,50,1,3,0,1.887,721.7,6.9,93.1,49,17.1,0.265,,23,0.09,3.527,88,Boulerice,3367.443,3367,,18.3,0.004,6.63,4262313.415,4262313,,14.5,0.1,7.825,66762757.996,66762758,,33.8,0.257,1.399,25.067,0,,39.1,0,-0.282,0.522,0,,30.7,0.049,1.356,22.72,23,,34.4,0,1.798544786,62.88467004,0
,M15,50,1,13,0,1.587,1660.3,3,97,50.9,17.1,0.259,,14.3,0.171,5.769,91,Boulerice,587796.426,587796,,12.7,0.033,8.259,181403974.296,181403974,,20.7,0.067,5.927,844671.926,844672,,32.4,1.917,1.791,61.744,0,,38.8,0,-0.172,0.673,0,,25.9,0.462,2.816,654.269,654,,38.2,0,0.711800815,5.149923945,0
2,M16,50,0,16,0,0,1451.3,3.4,96.6,50.6,18.8,0.405,,24.9,0.006,3.016,154,Birch,1038.52,1039,,16.8,0.111,7.066,11646133.157,11646133,,26.5,0.247,4.165,14608.967,14609,,31.6,0.191,1.995,98.792,99,,40,0,-0.544,0.286,0,,27.6,0.112,2.29,194.975,195,,40,0,0.176555716,1.501605037,0
,M17,50,0,6,1,1.786,2030.4,2.5,97.5,50.7,18.5,0.224,,30.8,0.474,1.5,167,Birch,31.589,32,,16.4,0.486,7.192,15573464.327,15573464,,18.2,0.022,6.691,4912647.185,4912647,,32.5,0.383,1.766,58.317,0,,30.6,0.314,2.318,207.811,208,,30.9,0.988,1.283,19.205,19,,40,0,0.176555716,1.501605037,0
,M19,50,1,2,0,1.923,979.2,5.1,94.9,49.4,17.9,0.103,,11.9,0.138,6.409,86,Boulerice,2563757.098,2563757,,10.8,0.225,8.814,651209387.688,651209388,,13.3,0.349,8.189,154388755.935,154388756,,31.8,0.132,1.939,86.798,87,,34.2,0.455,1.21,16.235,0,,28.1,0.263,2.16,144.475,144,,40,0,0.176555716,1.501605037,0
,M20,50,0,4,1,1.852,1070.9,4.7,95.3,49.1,17.8,0.026,,18.9,0.122,4.591,116,Boulerice,39018.476,39018,,16.9,1.6,7.028,10676257.321,10676257,,14.1,0.476,7.941,87202947.861,87202948,,31.8,0.038,1.958,90.874,91,,40,0,-0.544,0.286,0,,31.4,0.776,1.148,14.054,14,,40,0,0.176555716,1.501605037,0
,M21,50,0,8,0,0,315.2,15.9,84.1,45,17.7,0.132,,31.1,0.141,1.426,142,Birch,26.643,27,,17.8,0.088,6.769,5877382.222,5877382,,24,0.271,4.904,80076.585,80077,,29.9,0.247,2.47,294.969,295,,36.5,1.061,0.522,3.325,0,,33.6,0.401,0.476,2.989,0,,40,0,0.176555716,1.501605037,0
,M22,50,0,6,0,0,289.4,8.6,41.4,50.1,17.5,0.227,,27.1,0.094,2.461,143,Birch,289.284,289,,14.1,0.114,7.863,72933685.907,72933686,,12.3,0.176,8.512,324885686.909,324885687,,31.2,0.403,2.121,132.077,132,,40,0,-0.544,0.286,0,,35.7,6.001,-0.189,0.647,0,,40,0,0.176555716,1.501605037,0
,M23,50,1,7,0,1.754,1052.6,4.8,95.2,51,17.5,0.332,,27.8,0.001,2.273,111,Boulerice,187.525,188,,15.4,0.402,7.485,30546658.946,30546659,,15.3,0.184,7.598,39645930.772,39645931,,32.5,1.399,1.755,56.848,0,,22.5,0.255,4.774,59467.286,59467,,31,0.191,1.268,18.538,19,,40,0,0.176555716,1.501605037,0
,M24,50,0,5,0,0,1634.8,3.1,96.9,50.7,18.1,0.22,,22.6,0.069,3.631,108,Boulerice,4274.167,4274,,20.3,0.046,6.049,1120300.838,1120301,,24.5,0.147,4.755,56824.176,56824,,28.5,0.095,2.86,724.9,725,,27,0.582,3.408,2558.505,2559,,30,0.736,1.574,37.489,37,,40,0,0.176555716,1.501605037,0
,M25,50,0,8,1,1.724,1583.9,3.2,96.8,49,17.9,0.608,,28.6,0.183,2.071,178,Birch,117.795,118,,10.3,0.151,8.951,893780822.201,893780822,,23.7,0.015,4.996,99132.612,99133,,28.4,0.141,2.892,779.952,780,,31.5,0.473,2.032,107.705,108,,30.7,2.699,1.343,22.006,22,,40,0,0.176555716,1.501605037,0
,M26,50,0,8,0,0,934.9,5.3,94.7,49.2,18.3,0.154,,14.4,0.262,5.761,170,Birch,576327.348,576327,,12.7,0.109,8.253,179151548.616,179151549,,24.8,0.132,4.66,45746.873,45747,,29.2,0.018,2.668,465.398,465,,40,0,-0.544,0.286,0,,28.7,0.202,1.965,92.151,92,,40,0,0.176555716,1.501605037,0
,M27,50,0,8,1,1.724,1237.5,4,96,50.5,17.7,0.033,,15.2,0.028,5.542,165,Birch,348216.222,348216,,11.9,0.055,8.478,300908486.879,300908487,,16.8,0.198,7.112,12929702.186,12929702,,29.7,0.222,2.533,341.332,341,,32.6,1.773,1.704,50.532,0,,30.7,0.084,1.34,21.892,22,,40,0,0.176555716,1.501605037,0
,M28,50,1,6,0,1.786,2133.2,2.3,97.7,50.2,18.8,0.144,,11.1,0.34,6.599,155,Birch,3970254.551,3970255,,9,0.31,9.315,2065351071.248,2065351071,,13.9,0.657,8.015,103512613.926,103512614,,20,0.179,5.259,181700.661,181701,,25.6,0.482,3.847,7031.672,7032,,31.8,0,1.002,10.057,10,,40,0,0.176555716,1.501605037,0
,M29,50,1,7,0,1.754,669.4,7.5,92.5,50.1,18.2,0.022,,25.6,0.004,2.834,174,Boulerice,682.196,682,,14.4,0.063,7.776,59637011.265,59637011,,14.5,0.214,7.822,66447282.101,66447282,,30.8,0.779,2.237,172.612,173,,38,1.764,0.064,1.159,0,,30.5,0.013,1.411,25.758,26,,40,0,0.176555716,1.501605037,0
,M30,50,0,7,0,0,1245.7,4,96,50.9,18.3,0.054,,18.1,0.345,4.802,94,Boulerice,63320.186,63320,,11.9,0.274,8.487,306889788.67,306889789,,17.2,0.101,6.992,9826943.831,9826944,,29.7,0.158,2.527,336.839,337,,37,1.007,0.366,2.325,0,,29.2,0.645,1.819,65.916,66,,40,0,0.176555716,1.501605037,0
,M31,50,1,8,0,1.724,654.8,7.6,92.4,49.5,18.5,0.072,,19.5,0.063,4.43,164,Birch,26936.784,26937,,11.9,0.182,8.472,296527314.837,296527315,,26.4,0.033,4.174,14913.569,14914,,29.1,0.746,2.698,498.314,498,,40,0,-0.544,0.286,0,,32.7,0.115,0.724,5.296,0,,40,0,0.176555716,1.501605037,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,SLOP,-3.8519,,,,,,,,,,-3.4613,,,,,,-3.2602,,,,,,-3.5716,,,,,,-3.29,,,,,,-3.268,,,,,,-3.455,,,,
,,,,,,,,,,,INTERCEPT,36.56,,,,,,,,,,41.271,,,,,,40.033,,,,,,38.758,,,,,,38.21,,,,,,35.11,,,,,,40.61,,,,