lab_ID,varroa,nosema,hygienic,honey,weight,DWV,yard,Fitness,2022_FOB,2022_varroa,2022_Nosema
51,1.444444445,50000,0.9308,150,165,3857847.496,Allard,0.952992856,20,0.666666667,250000
46,1.4,130000,0.8478,80,180,486865.0334,Camisa,0.897196385,16,0,650000
61,0.222222222,8333.333333,0.8279,80,120,93137.53969,Yandow,0.893277247,14,0,50000
63,0.333333333,0,0.4675,85,165,21805586.32,Yandow,0.885289287,20,0,0
44,0.444444445,50000,0.6234,80,145,515517.5038,Camisa,0.87797039,17,0.666666667,200000
48,0.666666667,150000,0.6594,80,155,11495341.34,Camisa,0.876058272,22,0.333333333,800000
40,1.333333333,916666.6667,0.9379,120,155,2424381.461,Brigham,0.864833076,16,4.333333333,4650000
47,0.777777778,3.00E+05,0.6051,80,160,638845.4662,Camisa,0.859211989,17,0,1750000
66,1,1.00E+05,0.4658,98,145,396217.8493,Yandow,0.85161009,12,0.333333333,350000
83,0.833333333,491666.6667,0.6194,150,95,55926657.81,Fortin,0.847734364,14,0,1850000
37,0.444444444,858333.3333,0.7267,75,155,2288862.541,Brigham,0.836757883,10,0.333333333,4750000
60,1.111111111,733333.3333,0.527,149,105,44037.74537,Yandow,0.817835589,12,0,4350000
45,1.555555555,1033333.333,0.7628,115,145,60558.50229,Camisa,0.816707607,12,0.333333333,5900000
64,0.722222222,8333.333333,0.4296,64,115,76101.68569,Yandow,0.813243274,14,0.333333333,50000
43,0.388888889,1116666.667,0.5548,80,165,40809169.37,Camisa,0.810508215,15,0.333333333,6700000
38,0.444444444,1533333.333,0.9071,80,145,831717.3153,Brigham,0.806479635,10,0.666666667,9000000
41,0.555555556,1433333.333,0.7799,80,142.0588235,348942.711,Brigham,0.79240226,12,2.666666667,8050000
62,1.944444445,25000,0.2688,88,125,70852.48625,Yandow,0.780530252,15,6,150000
79,1.444444445,1025000,0.4236,120,140,451734382.4,Fortin,0.777591488,10,0,3850000
68,2.111111111,1150000,0.6069,120,110,285733085.9,Ferland,0.747573793,16,0,5850000
56,1.055555556,8333.333333,0.8,55,160,33677901759,Allard,0.746099833,Sticker on front - 8,1,0
42,1.111111111,2316666.667,0.5286,80,170,95784.75604,Camisa,0.703181167,13,0,13750000
74,0.722222222,1883333.333,0.8725,120,100,20254847139,Fortin,0.685626059,6,0,8900000
35,0.5,2966666.667,0.4257,115,155,827253.8816,Brigham,0.677977359,9,2.333333333,17600000
80,1.5,2558333.333,0.8529,125,75,1134397.555,Fortin,0.673441023,12,0,12000000
78,1.166666667,1791666.667,0.5479,89,115,11796783462,Fortin,0.659737536,7,0,4350000
72,2,3300000,0.6803,135,160,249832297.7,Ferland,0.656710048,7,0,15700000
81,1.5,3283333.333,0.7537,110,145,2093670.786,Fortin,0.652680967,7,0,14850000
71,3.666666667,3008333.333,0.5867,150,170,228761346.4,Ferland,0.633696853,6,0,12150000
75,1.055555556,3700000,0.670870588,122,110,274711003.6,Fortin,0.607375303,11,0.333333333,16150000