pesticide_name,description ,new_description,other_pesticide_name,organic,reduced_risk,seed_treatment,biopesticide_biocontrol
"2,4-DMPF",Amitraz is a non-systemic acaricide and insecticide. Amitraz is among many other purposes best known as an insecticide against mite- or tick- infestation of dogs.,"A breakdown product of Amitraz, best known as an insecticide against Varroa mites, or tick infestation of dogs. Amitraz may also be used for control of pear psylla on pears; whitefly on cotton; mites on fruit, citrus, ornamental, and horticulture crops; eggs and neonate larvae of cotton bollworm and tobacco budworm; ticks, mange mites, lice on cattle and swine. ","2,4 Dimethylphenyl formamide (DMPF)",0,0,0,0
4-Hydroxy-chlorothalonil,,"An environmental transformation product of chlorothalonil (broad spectrum fungicide), known for use in the control of mollusks or snails (molluscide), and for its fungicidal properties. Source: https://pubchem.ncbi.nlm.nih.gov/compound/4-Hydroxy-2_5_6-trichloroisophthalonitrile",,0,0,0,0
Acephate,"General use insecticide commonly used to treat fruits, vegetables (e.g. potatoes and sugar beets), vine, hop cultivation, and in horticulture to protect from biting and sucking insects. Considered toxic to bees at 1.2 ug/bee (Kidd, H. and James, D. R., Eds. The Agrochemicals Handbook,
Third Edition. Royal Society of Chemistry Information Services, Cambridge, UK, 1991 (as updated).5-14).","Classified as an organophosphate. For use on beans, Brussel sprouts, cauliflower, celery, cotton, cranberries, head lettuce, mint, peanuts, peppers, tobacco, ornamentals, and forests. ",,0,0,0,0
Acetamiprid,"Contact neonicatinoid insecticide targeting sucking-type insects. Can be applied to soil or as a foliar spray on apples, cherries, letttuce, pears, peppers, house and garden plants, potatoes, plums and tomatoes (http://www.agchemaccess.com/Acetamiprid).","A neonicotinoid insecticide used for the control armyworms, bean leaf beetles, Colorado potato beetle, leafhoppers, fruit moth, leafminers, plant bugs, soybean loopers, thrips, and whiteflies. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Ametryn,,"A selective, contact herbicide with some soil residual activity. Postemergence treatments must be directed on most crops. Absorbed through foliage and roots; penetrates foliage rapidly, minimizing its removal by rain. Controls most annual weeds in corn, banana, pineapple, and sugarcane. ",,0,0,0,0
Atrazine,"A commonly used, effective, and inexpensive herbicide used to eliminate noxious weeds in major crops. It frequently contaminates groundwater and can cause male amphibians (frogs) to change gender. It is restricted in Europe.","A selective, root-absorbed herbicide. Some foliar absorption but with little translocation. For use in corn, maize, sorghum, etc. ",,0,0,0,0
Avermectin B1a,,"Avermectin B1a is typically mixed with Avermectin B1b (80% Avermectin B1a, 20% Avermectin B1b) to create the insecticide called Abamectin,  known to be an effective acaricide/miticide. Used for control over Colorado potato beetles, cockroaches, fire ants, leaf miners, mites, and pinworms on citrus, fruits, mint, nuts, and vegetables. Some formulations may be used in greenhouses to control thrips and mites. Listed as a biopesticide/biocontrol product and for seed treatment/protectant use.  ",,0,0,1,1
Azoxystrobin,"An experimental compound used on cereals, vegetables, fruit crops, peanuts, turf, ornamentals, stone fruit, bananas, rice, apples, grapes, and potatoes. This chemical does not leach and is unlikely to contaminate water bodies. It is found to exhibit very low ecological risks to
aquatic life, birds, and mammals. Other names include Abound, Amistar, Bankit, Heritage, and Quadris.","For use on bananas, barley, corn, cotton, cucurbits, grapes, grasses grown for seed, oats, peaches, peanuts, pecans, potatoes, rice, rye, tomatoes, triticale, turf, wheat, and other fruits and vegetables. Listed for use as a plant health product and for seed treatment/protectant. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,1,0
Bendiocarb,,"Insecticide labeled for applications on turf, soil, shrubs, tres, and ornamental plants for various pests including beetles, aphids, mites, catepillars, spiders, wasps, ants, flies, and stored product pests. ",,0,0,0,0
Boscalid,"Fungicide used on specialty crops such as strawberries, beans, stone fruit, tree nuts, root vegetables, carrots, grapes, Brassica vegetables, and sunflowers (http://www.epa.gov/opp00001/chem_search/reg_actions/registration/fs_PC-128008_01-Jul-03.pdf).","For beans, canola, carrots, cereals, grapes, lettuce, peanuts, potatoes, and vegetables (bulb, fruiting). Some formulations may also be used on sunflowers, barley, wheat, turf, and ornamentals.  Listed for use as a plant health product and for seed treatment/protectant. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,1,0
Bromuconazole,,"For use on cereals, fruit, tropical fruits, vegetables, vines, turf, and ornamentals. ",,0,0,0,0
Carbaryl,,"For use on citrus, fruit, vegetables, forage, forests, field crops, nuts, ornamentals, rangeland, turf, and shade trees. ",,0,0,0,0
Carbofuran,,"Insecticide. Also regarded as a nematicide. For use with aphids, beetles, chich bug, corn rootworm, grasshoppers, leafhoppers, lygus bugs, nematodes, sugarcane borer, thrips, weevils, and wireworms in a variety of crops including alfalfa, corn, cotton, cucurbits, potatoes, soybeans, sugarcane, sunflowers, and tobacco. ",,0,0,0,0
Chlorantraniliprole,,"For use on bushberry, caneberry, citrus, corn, cotton, fig, herbs, legumes, pome fruit, pomegranate, spices, stone fruit, strawberries,  sugarcane, tobacco, tree nuts, tropical fruit, and most vegetables. Some formulations are also used on brassica, fruiting vegetables, and tuberous.  Listed for seed treatment/protectant use. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,1,0
Chlorpyrifos,,"Organophosphate insecticide used for aphids, ants, armyworm, billbugs, chinch bugs, corn borers, corn earworm, corn rootworm, cotton leafworm, cutworms, flea beetles, grasshoppers, grubs, lesser cornstalk borer, locusts, mole crickets, seedcorn maggot, sowbugs in field crops, forage, nursery crops, ornamentals, vegetables, and dormant application to fruit trees. ",,0,0,0,0
Clomazone,,"A selective, pre-plant-incorporated herbicide. Some foliar activity. Offsite movement can whiten or yellow plant foliage. For use in beans, cabbage, cotton, cucumbers, melons, peas, peppers, rices, soybeans, squash, sugarcane, sweet potato, tobacco, tuberous, and corm vegetables: weeds in chemical fallow wheat fields. ",,0,0,0,0
Clothianidin,,"A neonicotinoid insecticide for use on canola, corn, grapes, pome fruit,  nuts, rice, tobacco, vegetables, turf, and ornamentals. Some formulations may be used for seed treatment on corn, cotton, sorghum, soybeans, and sugarbeets.  Listed for seed treatment/protectant use. SThe U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,1,0
Coumaphos,"A widely used insecticide found to be moderately toxic to bees. It is used to control livestock insects such as cattle grubs, screw worms, lice, scabies, flies, and ticks. Coumaphos is an organophosphate which affects the activity of naturally occuring enzymes called cholinesterases in humans and insects that are essential for the proper functioning of the nervous system (http://pmep.cce.cornell.edu/profiles/extoxnet/carbaryl-dicrotophos/coumaphos-ext.html).","A widely used organophosphate insecticide found to be moderately toxic to bees. It is used to control livestock insects such as cattle grubs, screw worms, lice, scabies, flies, and ticks. Coumaphos is an organophosphate which affects the activity of naturally occuring enzymes called cholinesterases in humans and insects that are essential for the proper functioning of the nervous system (http://pmep.cce.cornell.edu/profiles/extoxnet/carbaryl-dicrotophos/coumaphos-ext.html).",,0,0,0,0
Cyanazine,,"Herbicide used for cereals, cotton, forestry, maize, oilseed rape, peas, potatoes, soybeans, and sugarcane. ",,0,0,0,0
Cyantraniliprole,,"Insecticide and seed treatment/protectant. Some formulations are pending use on potatoes and tomatoes for controlling potato/tomato psyllid, potato tuber moth, tomato fruit worm, and green peach aphid; thrips on onions; various uses on brassica for caterpillars, leafminers, and grey cabbage aphids. Listed for seed treatment/protectant use. ",,0,0,1,0
Cyflufenamid,,"A fungicide used to control powdery mildew in top fruit, vegetables, wheat, cucurbits, grapes, strawberries, cucumbers, melons, and summer squash. ",,0,0,0,0
Cyprodinil,"Used as a foliar fungicide on cereals, grapes, pome fruit, stone fruit, strawberries, vegetables, field crops, and ornamentals; and as a seed dressing on barley.","A fungicide used for disease control in almonds, cereal, field crops, grapes, pome fruit, stone fruit, strawberries, and as a seed dressing for barley. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Cyromazine,,"An insect growth regulator for use against sciarid flies in mushrooms; leafminers in chrysanthemums, vegetable crops, and ornamentals. Seed treatment for onion maggots in bulb onions. Also used for fly control in animal husbandry.  Listed for use as a biopesticide/biocontrol. ",,0,0,0,1
Difenoconazole,,"Classified as a fungicide, insecticide, and for use as a seed treatment/protectant. Used for foliar and seed treatment of cereals. Broad spectrum use with fruits (grapes, pome, stone, and tropical), oil seed rape, potatoes, soybeans, sugarbeets, vegetables, barley, oats, rye, triticale, and wheat. Certain formulations are also used for the control and prevention of certain diseases in golf course turfgrasses. ",,0,0,1,0
Diflubenzuron,"Insecticide used to control many leaf eating larvae of insects feeding on agricultural, forest, and ornamental plants (e.g. gypsy moths, mosquito larvae, rust mites). Diflubenzuron is used primarily on cattle, citrus, cotton, mushrooms, ornamentals, standing water, forestry trees, and in programs to control mosquito larvae and gypsy moth populations. (EPA) Insecticide used in controlling insect pests in forests and on field crops. It inhibits the production of chitin used by an insect to build its exoskeleton.","Considered to be an insect growth regulator and larvicide. For use against leaf-feeding insects in forestry, woody ornamentals, rangeland, and fruits. Certain major pests of citrus, cotton, rice, soybeans, and other vegetables. Certain formulations are used to control the breeding of flies in cattle manure. Listed for use as a biopesticide/biocontrol. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,1
Dimoxystrobin,,A fungicide commonly used on sunflowers and winter wheat. ,,0,0,0,0
Dinotefuran,,"A neonicotinoid insecticide for use on brassica, cotton, cucurbits, fruiting and leafy vegetables, grapes, potatoes, rice, turf, and ornamentals. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Diuron,,"An herbicide and plant growth regulator. A substituted urea compound used preemergence to control emerging and young broadleaf and grass seeds as well as mosses. Also for use on alfalfa, asparagus, citrus, cotton, orchards, sugarcane, wheat, and vineyards. ",,0,0,0,0
Fenamidone,,"A fungicide used for oomycete diseases such as grape and vegetable downy mildew, tomato and potato late blight and Pythium. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment.  ",,0,1,0,0
Fenbuconazole,"Systemic fungicide intended for use as an agricultural and horticultural fungicide spray for the control of leaf spot, yellow and brown rust, powdery mildew, and net blotch on wheat, barley, and apple scab, pear scab, and apple powdery mildew on apples and pears. Residues are also found on cherries, apricots, plums, peaches, grapes, oranges, grapefruits, and numerous vegetables.","A fungicide with protective, curative, and eradicant properties against a wide range of fungal diseases that attack blossom, foliage, fruit, and seed portions of many food and ornamental crops. Effective against deuteromycetes, ascomycetes, and basidiomycetes. ",,0,0,0,0
Fenhexamid,,"A fungicide used for control on bushberries, caneberries, grapes, pistachios, strawberries, and ornamentals. Suppression of powdery mildew of grapes. Control of Monilinia on almonds and stone fruits. Also for control of gray mold, fruit rot, and brown rot on fruits; bunch rot on grapevines. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Fenpyroximate,Acaricide (insecticide targeting mites) used to control varroa mites.,"An acaricide (insecticide targeting mites). Controls Asian citrus psyllid, leafhoppers, mealybugs, mites, pear psylla, potato/tomato psylla on berries, citrus, grapes, hops, mint, nonbearing fruit and nut treas and vies, pome and stone fruits, tree nuts, avocado, corn, cotton, cucumber, melons, and snap beans. Can be used to control varroa mites. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Fipronil,,"An insecticide with pheromone/attractant and seed treatment/protectant properties. For use in corn and potatoes. Seed treatment for use on field corn seed, cotton, dry beans, rice, soybeans, and wheat. Is also used by orchards as a fruit fly station in non-crop vegetation. ",,0,0,1,0
Fluazifop,,"A selective postemergence grass herbicide to control most annual and perennial grass weeds in asparagus, carrots, cotton, dry bulb onions, soybeans, spinach, sweet potatoes, and ornamentals. ",,0,0,0,0
Fluazinam,,"A fungicide with acaricide properties on citrus red mites and two-spotted spider mites. As a fungicide is used to control for Alternaria, Botrytis, Phytophthora, Plasmopara, Sclerotinia, Venturia, and other pathogens. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,0,0
Fludioxonil,"A fungicide used to control fungal disease, making it a useful seed treatment as well as a post-harvest treatment for fruit such as apples, bilberries, blackberries, blackcurrants, blueberries, broad beans, combining peas, crab apples, cranberries, dwarf french beans, edible podded peas, forest nursery, gooseberries, ornamental plant production, pears, quinces, raspberries, redcurrants, runner beans, strawberries, vining
peas, and whitecurrants (http://www.agchemaccess.com/Fludioxonil).","A multi-purpose pesticide, considered to be a fungicide, but is also used as an insecticide and for seed treatment purposes. For use on cereals, corn, cotton, oil seed rape, peanuts, peas, potatoes, maize, rice, soybeans, vegetables, grapes, turf, ornamental crops, brassica, bulb vegetables, cucurbits, safflower, sunflower, barley, oats, rye, triticale, and wheat. The U.S. EPA has classified some or all uses as a reduced risk to human health and the environment. ",,0,1,1,0
Flufenacet,,Herbicide effective on several annual grasses and some small-seed broadleaf weeds. Also commonly used on corn. ,,0,0,0,0
Flumioxazin,,"Herbicide for use on corn, cotton, almonds, fallow land, grapes, mint, onions, peanuts, potatoes, soybeans, sweet potatoes, and woody ornamentals. Also used for weed in bayous, canals, drainage ditches, fresh water ponds, lakes, marshes, and resevoirs. ",,0,0,0,0
Fluometuron,,Herbicide most commonly used on cotton plants. ,,0,0,0,0
Fluopicolide,,"Used for control of downy mildew, late blight, and Pythium, vegetables, grapes, ornamentals, and turf. ",,0,0,0,0
Fluopyram,,"A broad-spectrum fungicide with preventative, systemic, and curative properties for control or suppression of certain diseases. Certain formulations are used on almonds, pecans, pistachios, tree nuts, watermelon, wine grapes, apples, cherries, peanuts, potatoes, strawberries, sugarbeets, and tree nuts. ",,0,0,0,0
Fluoxastrobin,,"A fungicide used on corn, peanuts potatoes, soybeans, turf, wheat, tuber, fruiting and leafy vegetables, bulb onions, spring and winter wheat, triticale, and winter rye. ",,0,0,0,0
Flupyradifurone,,"Newer pesticide. Has the potential to control a broad spectrum of sucking pests in fruit, vegetables, and broad acre crops. ",,0,0,0,0
Fluxapyroxad,,"New fungicide technology also known as a seed treatment/protectant. For use on cotton, soybeans, barley, oats, rye, wheat, pome and stone fruits, beans, corn of all types, fruiting and legume vegetables, oilseed crops, peanuts, peas, sugar beets, and potatoes. ",,0,0,1,0
Fumagillin,,"In nature, fumagillin is mycotoxin produced by the fungus Aspergillus fumigatus. It is an opportunistic pathogen known to cause aspergillosis infections, which can lead to death. Its microsporicial activity may be used to to treat Nosema spp. Infected honeybee hives. Source: 10.3390/toxins12010007",,0,0,0,0
